id,cast_id,store_id,date,planned_start,planned_end,actual_start,actual_end,is_late,is_absent,help_from_store_id,notes,shift_data,help_cast_name
24,20,1,2026-02-04,,,2026-02-05 00:00:00.000000,2026-02-05 04:30:00.000000,0,0,,,"{""set_l"": 1.0, ""set_mg"": 0.0, ""set_shot"": 1.0, ""set_s"": 0.0, ""champagne_count"": 0.0, ""champagne_back"": 0, ""drink_count"": 3, ""drink_back"": 700, ""daily_payment"": 0, ""rt_count"": 0, ""nt_count"": 0, ""distribution_count"": 5, ""help_store"": null, ""help_hourly_rate"": null, ""working_hours"": 4.5}",
25,11,1,2026-02-04,,,2026-02-05 01:00:00.000000,2026-02-05 04:30:00.000000,0,0,,,"{""set_l"": 1.0, ""set_mg"": 0.0, ""set_shot"": 1.0, ""set_s"": 0.0, ""champagne_count"": 0.0, ""champagne_back"": 0, ""drink_count"": 3, ""drink_back"": 700, ""daily_payment"": 0, ""rt_count"": 0, ""nt_count"": 0, ""distribution_count"": 2, ""help_store"": null, ""help_hourly_rate"": null, ""working_hours"": 3.5}",
26,14,1,2026-02-04,,,2026-02-05 00:00:00.000000,2026-02-05 05:00:00.000000,0,0,,,"{""set_l"": 0.0, ""set_mg"": 0.0, ""set_shot"": 0.0, ""set_s"": 0.0, ""champagne_count"": 0.0, ""champagne_back"": 0, ""drink_count"": 0, ""drink_back"": 0, ""daily_payment"": 5000, ""rt_count"": 0, ""nt_count"": 0, ""distribution_count"": 0, ""help_store"": null, ""help_hourly_rate"": null, ""working_hours"": 5.0}",
27,16,1,2026-02-04,,,2026-02-04 18:30:00.000000,2026-02-05 00:00:00.000000,0,0,,,"{""set_l"": 0.0, ""set_mg"": 0.0, ""set_shot"": 0.0, ""set_s"": 0.0, ""champagne_count"": 0.0, ""champagne_back"": 0, ""drink_count"": 0, ""drink_back"": 0, ""daily_payment"": 0, ""rt_count"": 0, ""nt_count"": 0, ""distribution_count"": 0, ""help_store"": null, ""help_hourly_rate"": null, ""working_hours"": 5.5}",
28,21,1,2026-02-05,,,2026-02-05 19:30:00.000000,2026-02-06 05:00:00.000000,1,0,,,"{""set_l"": 14.0, ""set_mg"": 0.0, ""set_shot"": 0.0, ""set_s"": 0.0, ""champagne_count"": 0.0, ""champagne_back"": 0, ""drink_count"": 28, ""drink_back"": 5600, ""daily_payment"": 0, ""rt_count"": 0, ""nt_count"": 0, ""distribution_count"": 45, ""help_store"": null, ""help_hourly_rate"": null, ""working_hours"": 9.5}",
29,3,1,2026-02-05,,,2026-02-05 20:00:00.000000,2026-02-06 00:00:00.000000,0,0,,,"{""set_l"": 5.0, ""set_mg"": 0.0, ""set_shot"": 0.0, ""set_s"": 0.0, ""champagne_count"": 0.0, ""champagne_back"": 0, ""drink_count"": 10, ""drink_back"": 2000, ""daily_payment"": 0, ""rt_count"": 0, ""nt_count"": 0, ""distribution_count"": 36, ""help_store"": null, ""help_hourly_rate"": null, ""working_hours"": 4.0}",
30,22,1,2026-02-05,,,2026-02-05 21:00:00.000000,2026-02-06 04:00:00.000000,0,0,,,"{""set_l"": 7.0, ""set_mg"": 0.0, ""set_shot"": 0.0, ""set_s"": 0.0, ""champagne_count"": 0.0, ""champagne_back"": 0, ""drink_count"": 14, ""drink_back"": 2800, ""daily_payment"": 0, ""rt_count"": 0, ""nt_count"": 0, ""distribution_count"": 9, ""help_store"": null, ""help_hourly_rate"": null, ""working_hours"": 7.0}",
31,4,1,2026-02-05,,,2026-02-06 00:00:00.000000,2026-02-06 05:00:00.000000,0,0,,,"{""set_l"": 10.0, ""set_mg"": 0.0, ""set_shot"": 0.0, ""set_s"": 0.0, ""champagne_count"": 0.0, ""champagne_back"": 0, ""drink_count"": 20, ""drink_back"": 4000, ""daily_payment"": 5000, ""rt_count"": 0, ""nt_count"": 0, ""distribution_count"": 0, ""help_store"": null, ""help_hourly_rate"": null, ""working_hours"": 5.0}",
32,23,1,2026-02-05,,,,,0,0,,,"{""set_l"": 0.0, ""set_mg"": 0.0, ""set_shot"": 0.0, ""set_s"": 0.0, ""champagne_count"": 0.0, ""champagne_back"": 0, ""drink_count"": 0, ""drink_back"": 0, ""daily_payment"": 0, ""rt_count"": 0, ""nt_count"": 0, ""distribution_count"": 3, ""help_store"": null, ""help_hourly_rate"": null, ""working_hours"": 0.0}",
33,24,1,2026-02-06,,,2026-02-06 19:00:00.000000,2026-02-06 23:30:00.000000,0,0,,,"{""set_l"": 3.0, ""set_mg"": 0.0, ""set_shot"": 0.0, ""set_s"": 0.0, ""champagne_count"": 0.0, ""champagne_back"": 0, ""drink_count"": 6, ""drink_back"": 1200, ""daily_payment"": 0, ""rt_count"": 0, ""nt_count"": 0, ""distribution_count"": 52, ""help_store"": null, ""help_hourly_rate"": null, ""working_hours"": 4.5}",
